MKTPLANLRSERVICE_D	82892609	7.31	07-MAY-26	10582808	0	16391	1	43	128	BOTH AGREE ? ACTIVE
MKTPLANDISPATCH	69803491	6.82	07-MAY-26	1922277	0	1869	705	59	768	BOTH AGREE ? ACTIVE
MKTPLANPRD_D	66212335	6.08	07-MAY-26	7549612	0	18713	83	19	144	BOTH AGREE ? ACTIVE
MKTPLANAREA	36841392	5.94	07-MAY-26	1244313	0	23742	0	1566	48	BOTH AGREE ? ACTIVE
MKTPLANLRASTYPE_D	47602263	5.74	07-MAY-26	4817628	0	7646	0	89	16	BOTH AGREE ? ACTIVE
MKTUNITHOURLY	30576857	4.94	07-MAY-26	670622	0	628562	17	12218	0	BOTH AGREE ? ACTIVE
MKTPLANZONEPNODELMP_OLD	90632917	4.88	23-NOV-20	2390150	26100	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANCONSTRAINT_OLD	22541237	4.86	14-DEC-20	285210	0	152	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITSCHEDULEBIDDAILY	25263724	4.07	07-MAY-26	1314755	0	867829	0	191	0	BOTH AGREE ? ACTIVE
MKTPLANLOADRESPONSE_P	32547461	3.26	02-SEP-21	675342	0	788	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANCONSTRAINT_D	7863676	3.24	07-MAY-26	283994	0	181	1	37	64	BOTH AGREE ? ACTIVE
MKTSTUDYVALIDATIONRESULT	10908835	3.13	07-MAY-26	678216	0	341	0	5	0	BOTH AGREE ? ACTIVE
MKTPLANUNITSERVICE_P	67795764	3.05	02-SEP-21	1747914	0	2643	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITSCHEDULEAVAIL	20023175	2.94	07-MAY-26	1189423	0	710957	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANLOCALE	18087012	2.83	07-MAY-26	132246	0	48	1	196	0	BOTH AGREE ? ACTIVE
MKTPLANUNITIRLPC	73619957	2.54	10-MAR-21	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLANUNITIRLPC_MA	73619957	2.44	26-JUL-22	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTAREAHOURLY	1188336	2.38	07-MAY-26	77280	0	77040	0	236	0	BOTH AGREE ? ACTIVE
MKTAREASMOOTHEDLOAD	26859583	2.05	07-MAY-26	714520	0	658000	0	9	3136	BOTH AGREE ? ACTIVE
MKTAREAFORECAST	15617617	2.01	07-MAY-26	750366	0	739296	0	1683	122672	BOTH AGREE ? ACTIVE
MKTPLANDISPATCH_D	10386117	1.77	07-MAY-26	489405	0	1491	0	4	0	BOTH AGREE ? ACTIVE
MKTPLANLOCALEPRODUCT	20947372	1.63	07-MAY-26	626454	0	606	0	29	0	BOTH AGREE ? ACTIVE
MKTPLANLRSERVICE_P	22408076	1.48	02-SEP-21	1621929	0	856	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTDMTUNITDAILY	10414824	1.44	07-MAY-26	309914	0	215831	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANLRASTYPE_P	15072937	1.39	02-SEP-21	1110635	0	538	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITSCHEDULEDAILY	7732876	1.38	07-MAY-26	234033	0	116733	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANPRD_P	26077069	1.33	02-SEP-21	1596319	0	1774	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANPNODE_TEMP_4AUG2025	6128788	1.31	05-AUG-25	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLANSUMMARY	3604472	1.29	07-MAY-26	6086	0	1957	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
BKP_MKTCASE1312025	3081672	1.25	31-JAN-25	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTAEPEVENT_09302016	22565114	1.25	29-DEC-18	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTUNITRAMPRATEHOURLY	9765658	1.19	07-MAY-26	66480	0	60291	0	44	0	BOTH AGREE ? ACTIVE
MKTPLANLOCALE_OLD	11217725	1.19	11-JAN-21	177785	0	140	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
BKP_MKTPLANPNODE_TEMP	5887476	1.19	24-JUL-24	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTUNITDAPLAN	19048600	1.06	07-MAY-26	124375	0	2412	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITSCHEDULEHOURLY	7372593	0.99	07-MAY-26	431863	0	231328	0	115	592	BOTH AGREE ? ACTIVE
MKTCASE	3350380	0.9	07-MAY-26	3003	0	1893	0	74	40101264	BOTH AGREE ? ACTIVE
MKTRTTRANSACTIONSEGMENT	2658968	0.87	07-MAY-26	179898	0	178415	0	83	0	BOTH AGREE ? ACTIVE
AUDMKTUNITREGAVAILABILITY	7636753	0.87	07-MAY-26	655952	0	0	44	422	4016	BOTH AGREE ? ACTIVE
MKTUNITREGHOURLY	4411579	0.73	07-MAY-26	164867	0	80346	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANLOCALE_D	2759361	0.72	07-MAY-26	156810	0	150	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTFLOWGATESTUDYRESULTS	1188973	0.66	07-MAY-26	66432	0	66424	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
STG_DESELECTED_UNITS	11289000	0.59	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTUNITSCHEDBIDDAILY_20160211	4585600	0.58	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTUNITSCHEDBIDDAILY_20160108	4497700	0.58	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTSAVECASEBRANCHLIMIT	9085488	0.55	09-MAR-26	153264	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
OPSINTERFACEDATA	14020061	0.54	07-MAY-26	44165	0	0	0	2	32	BOTH AGREE ? ACTIVE
MKTDSRSCHEDULEAVAIL	11778162	0.53	07-MAY-26	274240	0	1731	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLAN_052020	2097749	0.5	19-MAY-20	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLAN_052020_1	2098661	0.5	20-MAY-20	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLANCONSTRAINT_P	2160287	0.5	03-SEP-21	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLAN_052020_2	2098713	0.5	20-MAY-20	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLANLOCALEPRODUCT_D	3163227	0.45	07-MAY-26	247945	0	722	0	12	0	BOTH AGREE ? ACTIVE
MKTPLANSUMMARY_D	488177	0.45	07-MAY-26	20950	0	30	0	44	0	BOTH AGREE ? ACTIVE
MKTSAVECASECB	6149062	0.44	09-MAR-26	263807	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
